x,y,z,1,2,3,4
-16200,2464,3276,79,94,85,100
-16324,2164,3344,79,94,85,100
-16208,1900,3288,79,94,85,100
-16392,1792,3104,79,94,85,100
-16416,1432,2820,79,94,84,100
-16484,1420,2948,79,94,84,100
-16404,1396,2956,79,94,85,100
-16420,1412,2792,79,94,84,100
-16308,1400,2728,79,94,84,100
-16156,1384,2536,79,94,85,100
-16188,1416,2468,79,94,84,100
-16316,1508,2408,79,94,84,100
-16380,1632,2288,79,94,84,100
-16440,1564,2180,79,94,84,100
-16696,1576,1916,79,95,84,100
-16872,1600,1776,78,94,84,100
-16984,1620,1784,78,95,84,100
-17108,1820,1792,78,94,84,100
-17252,2020,1596,78,94,84,100
-17232,1988,1604,78,95,84,100
-17256,2264,1536,78,94,84,100
-17520,2220,1684,78,95,84,100
-17876,2464,1488,78,95,84,100
-18260,2624,1408,78,94,83,100
-18660,2648,1400,78,94,83,100
-19544,2592,1140,77,94,82,100
-20372,2708,968,77,94,82,100
-20852,2844,940,77,94,82,100
-21204,2932,612,76,94,81,100
-21504,2944,684,75,94,81,100
-21724,3248,900,74,94,80,100
-21760,3616,852,74,94,79,100
-21784,3908,948,73,94,79,100
-22304,3416,172,72,94,78,100
-22908,2968,-828,71,94,77,100
-24376,2532,-1548,70,94,76,100
-25496,2276,-1304,69,94,75,100
-26900,1780,-1208,68,94,73,100
-28116,792,-2088,67,93,73,100
-28948,-304,-2640,66,93,72,100
-29352,-464,-3448,65,93,71,100
-29648,-732,-4284,64,93,70,100
-29472,-740,-4780,62,92,70,99
-29064,-872,-4860,61,92,69,99
-27260,-1172,-4880,60,91,68,99
-24436,-1212,-4760,59,90,67,98
-22268,-1408,-4636,57,89,67,98
-20020,-524,-3648,57,89,67,97
-19184,1256,-3516,58,88,67,97
-19952,1872,-4044,58,88,68,96
-23524,1592,-4672,58,87,68,96
-26332,2100,-5824,58,87,68,96
-26864,2572,-7196,58,86,68,96
-26780,2648,-8428,58,85,67,95
-26596,2820,-8632,58,85,67,94
-26752,3088,-9064,58,84,67,94
-27620,3944,-9692,58,84,67,92
-29540,3808,-10440,58,84,67,91
-30932,3132,-10544,58,84,67,90
-32052,2052,-10896,59,83,67,90
-31868,1148,-10616,59,83,67,89
-31140,620,-10628,59,82,67,88
-30184,-352,-10740,60,82,67,86
-29256,-1200,-10516,60,82,67,85
-28280,-1788,-9976,60,81,67,85
