x,y,z,1,2,3,4
-17340,-3060,-3892,65,61,71,62
-17120,-3320,-4184,65,61,71,63
-17108,-3800,-3948,65,61,71,62
-17160,-3896,-4084,65,60,71,63
-17160,-3880,-4192,65,61,70,64
-17220,-4228,-4268,65,62,70,63
-17436,-4340,-4240,65,62,71,64
-17432,-4260,-4268,65,62,70,63
-17556,-4496,-4400,65,62,70,63
-17672,-4848,-4476,65,61,70,64
-17840,-4796,-4344,65,62,70,64
-17964,-4808,-4588,65,62,70,63
-18032,-4904,-4604,65,62,70,64
-17996,-4812,-4460,65,62,70,64
-17884,-4760,-4644,65,62,70,64
-17760,-4804,-4568,64,62,70,64
-17488,-4720,-4664,65,62,70,64
-17344,-4636,-4572,64,62,70,64
-17184,-4544,-4464,64,63,70,64
-17104,-4472,-4676,64,62,69,64
-16944,-4288,-4660,64,61,69,64
-16960,-4272,-4712,64,61,69,64
-17044,-4008,-4616,64,61,69,64
-17016,-4100,-4632,64,62,70,64
-17124,-3928,-4744,64,62,70,65
-17268,-3800,-4756,64,62,69,64
-17376,-3720,-4712,64,62,69,64
-17420,-3704,-4860,64,62,69,65
-17596,-3624,-4920,64,61,69,65
-17556,-3500,-4944,64,62,69,65
-17584,-3384,-4932,64,62,70,64
-17548,-3184,-5020,64,62,69,65
-17420,-2816,-5092,63,62,69,65
-17408,-2892,-5472,64,62,69,65
-17280,-2616,-5244,63,62,69,65
-17016,-2492,-5240,63,62,69,64
-16828,-2380,-5248,63,62,69,64
-16564,-2220,-5340,63,62,69,65
-16464,-1960,-5468,63,62,69,65
-16336,-1796,-5348,63,62,69,65
-16228,-1588,-5348,63,62,68,65
-16184,-1436,-5368,63,62,68,65
-16396,-1236,-5540,63,62,68,65
-16280,-1140,-5480,63,62,68,65
-16352,-1140,-5464,62,62,68,65
-16408,-1116,-5664,63,62,68,65
-16444,-1048,-5456,63,62,68,65
-16396,-1060,-5660,62,62,69,65
-16524,-976,-5772,62,62,68,65
-16472,-1088,-5864,62,62,68,66
-16544,-932,-5732,62,61,68,66
-16588,-860,-5712,62,61,68,66
-16448,-984,-6104,62,61,68,65
-16584,-900,-5932,62,62,68,65
-16608,-708,-6044,62,62,68,65
-16532,-464,-6036,62,61,68,66
-16616,-432,-6044,62,62,67,65
-16608,-228,-6132,62,62,67,66
-16720,-44,-6212,61,62,67,66
-16724,120,-6328,61,62,67,66
-16664,280,-6300,61,62,67,65
-16704,196,-6348,61,62,67,65
-16748,344,-6332,61,62,67,65
-16724,352,-6440,61,62,67,65
-16676,648,-6232,61,62,67,65
-16696,548,-6180,61,62,67,65
-16628,600,-6184,61,62,67,65
-16700,648,-6124,61,62,67,65
-16908,576,-5836,61,62,67,65
-16936,724,-6024,61,62,67,65
-16980,540,-5960,61,61,67,65
-16832,768,-5828,61,61,66,65
-16880,760,-5624,61,62,66,65
-16832,776,-5448,61,62,67,65
-16636,764,-5272,61,62,66,65
-16408,932,-5096,61,62,66,66
-16248,736,-4968,61,62,66,66
-16228,1036,-4852,61,62,66,66
-16008,1004,-4784,61,62,66,65
-15764,924,-4840,61,62,66,65
-15472,1192,-4844,61,62,66,66
-15416,1352,-4684,61,62,66,66
-15376,1636,-4660,60,61,66,66
-15500,1664,-4648,60,61,66,66
-15368,2184,-4516,60,61,66,65
-15476,2288,-4464,60,61,66,66
-15484,2516,-4548,60,61,66,65
-15408,2624,-4412,60,59,66,61
-15344,2772,-4328,60,59,65,62
-15816,2592,-4388,60,58,66,63
-16916,2296,-3968,60,59,66,63
-18812,2064,-3296,60,59,65,62
-19596,1580,-2644,60,59,66,62
-19700,1308,-2320,60,59,66,60
-19736,1188,-1752,60,59,66,60
-19624,652,-388,60,58,65,59
-19124,568,-592,60,55,65,59
-18824,324,-152,60,57,65,62
-19196,348,720,60,56,66,61
-19288,1044,1368,60,55,66,59
-19420,2760,2680,60,56,67,60
-17776,5184,3972,62,56,67,61
-15756,5308,2864,64,56,69,59
-16464,5476,3196,67,55,70,60
-18900,6748,2736,71,55,74,61
-21892,9052,1168,74,55,76,56
-22428,9040,-1816,75,56,78,59
-24988,11516,-2868,78,58,79,60
-21212,11856,-9472,78,59,81,60
-19580,12600,-13112,79,60,82,56
-17052,14940,-19216,80,60,83,60
-11080,14856,-29276,81,62,84,61
-6368,11284,-32768,81,61,85,57
-3572,8280,-32768,82,63,86,58
-3400,5796,-32768,82,63,86,60
-8168,1752,-32768,83,65,87,50
-13748,64,-29100,83,66,87,56
-23520,-1000,-21944,83,65,88,57
-32768,-2124,-15548,84,66,88,55
-32768,-3144,-11276,84,66,88,55
-32768,-3772,-9436,84,65,89,57
-32768,-6088,-3848,85,66,89,61
-32768,-1824,-4340,84,67,89,64
-32768,-1804,-5932,85,67,89,64
-31852,-3156,-6604,85,66,90,65
-22288,-6104,-5952,85,66,90,66
-17204,-6352,-4652,85,67,90,64
-12128,-6600,-3868,85,68,90,66
-9860,-6836,-3600,86,67,90,67
-8008,-6448,-2784,86,67,90,68
-7480,-5464,-1924,86,67,90,66
-7540,-4716,-1536,86,68,90,67
-7932,-3408,-1124,86,67,90,65
-8412,-2420,-832,86,68,90,64
-9540,-1236,296,86,68,90,64
-10400,-388,828,86,69,90,62
-11424,1360,1636,86,69,91,66
-12176,2376,1964,86,69,91,68
-12488,3240,1940,87,69,91,64
-12852,3296,1820,87,70,91,64
-12976,3108,1520,87,70,91,63
-13480,2128,940,87,71,91,67
-13852,1352,392,87,71,91,69
-14152,124,-580,87,71,91,67
-14320,-728,-1392,87,72,91,65
-14576,-2060,-2124,87,72,91,64
-14580,-3176,-2612,87,71,91,67
-14380,-4648,-3056,87,72,91,66
-14316,-5968,-3248,87,72,91,62
-14184,-7032,-3012,88,72,92,68
-13948,-7760,-2948,88,73,92,67
-13744,-8464,-2956,88,73,92,71
-13788,-9056,-2572,88,74,92,69
-13728,-9172,-2412,88,73,92,72
-13720,-9100,-2140,88,74,92,71
-14248,-8684,-1936,88,73,92,73
-14660,-8112,-1892,88,74,92,72
-14892,-7636,-1844,88,74,92,71
-15484,-6828,-1868,88,73,92,69
-16024,-6024,-2196,88,74,92,72
-16052,-5132,-2368,88,74,92,71
-16244,-4628,-2796,88,74,92,69
-16600,-3676,-2968,88,74,92,70
-17236,-2924,-3548,88,74,93,72
-17592,-2112,-3956,88,75,93,71
-17744,-1640,-4396,88,75,93,71
-17616,-744,-4844,88,74,93,66
-17208,104,-5356,88,75,93,73
-16704,532,-5616,88,75,93,73
-16428,1364,-6072,89,75,93,73
